customer_Id,DOB,Gender,city_code
268408,1970-01-02,M,4
269696,1970-01-07,F,8
268159,1970-01-08,F,8
270181,1970-01-10,F,2
268073,1970-01-11,M,1
273216,1970-01-15,F,5
266929,1970-01-15,M,8
275152,1970-01-16,M,4
275034,1970-01-18,F,4
273966,1970-01-21,M,8
270829,1970-01-22,F,8
266997,1970-01-23,M,9
272455,1970-01-25,M,7
274593,1970-01-26,M,10
273391,1970-01-29,F,2
267657,1970-01-29,F,7
271344,1970-01-29,F,5
268275,1970-02-01,F,7
274630,1970-02-01,M,4
273541,1970-02-01,M,4
270324,1970-02-01,F,1
273613,1970-02-06,M,1
271608,1970-02-09,F,4
269008,1970-02-13,F,6
267199,1970-02-14,,2
267916,1970-02-17,F,8
267609,1970-02-18,M,2
270602,1970-02-18,M,5
272883,1970-02-19,M,5
272359,1970-02-19,M,4
272603,1970-02-19,F,9
272028,1970-02-20,F,1
274717,1970-02-21,M,7
273316,1970-02-21,M,2
271262,1970-02-21,M,2
267166,1970-02-22,F,4
270827,1970-03-04,F,10
273423,1970-03-04,F,4
271692,1970-03-07,M,5
274592,1970-03-08,M,5
271777,1970-03-08,M,8
266895,1970-03-12,M,4
274360,1970-03-14,M,5
274602,1970-03-15,F,3
266799,1970-03-16,F,5
272821,1970-03-17,F,3
267379,1970-03-21,F,2
273016,1970-03-22,M,3
273106,1970-03-23,F,2
271935,1970-03-26,M,5
273109,1970-03-27,F,5
270986,1970-03-27,M,10
266969,1970-03-28,M,2
273871,1970-03-29,M,7
273811,1970-03-29,M,8
271312,1970-04-01,F,5
274834,1970-04-02,M,4
271991,1970-04-02,M,5
269765,1970-04-04,F,9
272071,1970-04-06,F,6
272645,1970-04-14,F,2
270780,1970-04-18,F,3
272736,1970-04-19,F,1
272627,1970-04-19,F,3
272795,1970-04-22,M,1
270450,1970-04-24,F,3
266862,1970-04-24,F,5
274535,1970-04-26,F,4
269640,1970-04-29,M,7
268290,1970-04-29,M,7
275250,1970-05-02,F,1
272555,1970-05-03,M,1
268732,1970-05-06,M,2
271478,1970-05-06,F,1
267529,1970-05-09,M,4
271066,1970-05-10,M,8
267819,1970-05-10,F,9
269271,1970-05-12,F,5
273150,1970-05-14,F,10
267386,1970-05-15,M,7
274350,1970-05-16,F,3
273645,1970-05-22,F,4
270911,1970-05-22,M,2
268424,1970-05-23,F,8
271045,1970-05-23,F,7
268627,1970-06-01,M,9
270430,1970-06-01,M,7
271626,1970-06-02,,6
272301,1970-06-03,F,8
269531,1970-06-05,M,2
274849,1970-06-09,M,4
271031,1970-06-09,F,2
272018,1970-06-09,F,6
272186,1970-06-09,M,10
270047,1970-06-10,M,1
274128,1970-06-10,M,10
268313,1970-06-11,F,8
270933,1970-06-15,M,8
271072,1970-06-16,M,6
271465,1970-06-17,F,9
274770,1970-06-17,F,2
270676,1970-06-19,M,5
273529,1970-06-19,F,1
273162,1970-06-19,M,8
268533,1970-06-23,F,6
275246,1970-06-25,M,3
267066,1970-06-25,F,10
269345,1970-06-26,F,10
275116,1970-06-29,M,5
273840,1970-07-01,M,3
268792,1970-07-04,M,4
274892,1970-07-05,F,8
273708,1970-07-09,F,7
272495,1970-07-10,M,8
272926,1970-07-11,F,4
268447,1970-07-14,M,
273442,1970-07-16,M,4
267081,1970-07-17,F,3
267042,1970-07-23,M,8
273151,1970-07-24,F,4
274169,1970-07-24,F,1
270130,1970-07-26,M,9
274546,1970-07-26,M,3
273575,1970-07-27,M,1
267280,1970-08-02,M,5
267304,1970-08-03,M,4
274445,1970-08-06,M,8
270678,1970-08-06,F,4
270328,1970-08-07,F,4
269449,1970-08-09,M,6
275014,1970-08-12,M,4
269825,1970-08-21,M,4
271750,1970-08-23,F,6
267826,1970-08-24,F,7
272501,1970-08-26,F,1
273587,1970-08-29,F,1
272721,1970-09-01,M,8
275134,1970-09-02,F,8
267713,1970-09-03,M,1
274029,1970-09-03,F,1
272261,1970-09-03,F,9
274628,1970-09-04,M,5
273776,1970-09-06,F,2
274743,1970-09-06,M,4
